service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS322-1-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-2-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-5-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-8-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-9-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-C-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-F-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-I-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
BUS322-L-Wdy-02,1,1,1,1,1,0,0,20220719,20220826
Boat-F1-SaFull-Smr-22,0,0,0,0,0,1,0,20220723,20220827
Boat-F1-SuFull-Smr-22,0,0,0,0,0,0,1,20220724,20220821
Boat-F1-WdyFull-Smr-22,1,1,1,1,1,0,0,20220719,20220826
Boat-F4-Sa-Smr-22,0,0,0,0,0,1,0,20220723,20220827
Boat-F4-Su-Smr-22,0,0,0,0,0,0,1,20220724,20220821
Boat-F4-Wdy-Smr-22,1,1,1,1,1,0,0,20220719,20220826
CR-1-AndersonJulyShuttle-Snd,0,0,0,0,0,0,1,20220731,20220807
CR-1-AndersonJulyShuttle-Std,0,0,0,0,0,1,0,20220730,20220806
CR-2-WellingtonJulyShuttle-Snd,0,0,0,0,0,0,1,20220724,20220724
CR-2-WellingtonJulyShuttle-Std,0,0,0,0,0,1,0,20220723,20220723
CR-2-WellingtonJulyShuttle-Wkd,0,0,0,1,1,0,0,20220721,20220722
LRV322-1-Wdy-01,1,1,1,1,1,0,0,20220725,20220826
LRV322-1-Wdy-01-CldCrlKnr,0,1,1,1,1,0,0,20220719,20220722
LRV322-4-Wdy-01,1,1,1,1,1,0,0,20220719,20220826
PRIV322-1-Wdy-01,1,1,1,1,1,0,0,20220719,20220826
