route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010004,52370898
Red-3-0,Red,0,Alewife - Braintree,,1,10010005,52371137
Red-1-0_70061_70071_2,Red,0,Kendall/MIT - Ashmont,,4,10010099,51849598-AlewifeKendall2
Red-3-0_70061_70071_2,Red,0,Kendall/MIT - Braintree,,4,10010099,51849837-AlewifeKendall2
Red-1-1,Red,1,Ashmont - Alewife,,1,10010100,52370903
Red-3-1,Red,1,Braintree - Alewife,,1,10010101,52371057
Red-1-1_70072_70061_0,Red,1,Ashmont - Kendall/MIT,,4,10010199,51849603-AlewifeKendall0
Red-3-1_70072_70061_0,Red,1,Braintree - Kendall/MIT,,4,10010199,51849757-AlewifeKendall0
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,51931609
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,51931607
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,52371252
Orange-3-0_70036_70032_2,Orange,0,Wellington - Forest Hills,,4,10020099,52371252-OakGroveWellington2
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,52371253
Orange-3-1_70033_70036_0,Orange,1,Forest Hills - Wellington,,4,10020199,52371253-OakGroveWellington0
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,10032000,52139435
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,10032100,52139434
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,10033000,52139574
Green-C-832-0_70151_70237_0,Green-C,0,Government Center - Kenmore,,4,10033099,52139574-ClevelandCircleKenmore0
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,10033100,52139575
Green-C-832-1_70238_70150_2,Green-C,1,Kenmore - Government Center,,4,10033199,52139575-ClevelandCircleKenmore2
Green-D-851-0,Green-D,0,North Station - Riverside,,1,10034000,52139800
Green-D-855-0,Green-D,0,Union Square - Riverside,Weekday early mornings only,3,10034004,52139874
Green-D-851-1,Green-D,1,Riverside - North Station,,1,10034100,52139798
Green-D-855-1,Green-D,1,Riverside - Union Square,Weekday mornings only,3,10034104,52139875
Green-E-885-0,Green-E,0,Union Square - Heath Street,,1,10035000,52139420
Green-E-885-1,Green-E,1,Heath Street - Union Square,,1,10035100,52139419
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,10040000,52451735
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,10040004,52452004
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,10040100,52451736
741-_-0,741,0,South Station - Logan Airport Terminals,,1,10051000,52272247
741-_-1,741,1,Logan Airport Terminals - South Station,,1,10051100,52272248
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,10051104,52272376
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,10052000,52271980
742-_-1,742,1,Drydock Ave - South Station (PM Route),,1,10052100,52271985
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,3,10052104,52271983
743-_-0,743,0,South Station - Chelsea Station,,1,10053000,52271197
