from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
10000,10000,1,,,,,,52110082,52110083
10000,10000,1,,,,,,52110084,52110085
10000,10000,1,,,,,,52110086,52110087
10000,10000,1,,,,,,52110088,52110089
10000,10000,1,,,,,,52110090,52110091
10000,10000,1,,,,,,52112783,52112784
10000,10000,1,,,,,,52112785,52112786
10000,10000,1,,,,,,52112787,52112788
10000,10000,1,,,,,,52112789,52112790
10000,10000,1,,,,,,52112791,52112792
10000,10000,1,,,,,,52112793,52112794
10000,10000,1,,,,,,52112795,52112796
10000,10000,1,,,,,,52112797,52112798
10000,10000,1,,,,,,52112799,52112800
10000,10000,1,,,,,,52112801,52112802
10000,10000,1,,,,,,52112803,52112804
10000,10000,1,,,,,,52112805,52112806
10000,10000,1,,,,,,52112807,52112808
10000,10000,1,,,,,,52112809,52112810
10000,10000,1,,,,,,52112811,52112812
10000,10000,1,,,,,,52112813,52112814
10000,10000,1,,,,,,52112815,52112816
10000,10000,1,,,,,,52112817,52112818
10000,10000,1,,,,,,52112819,52112820
10000,10000,1,,,,,,52112821,52112822
10000,10000,1,,,,,,52112823,52112824
10000,10000,1,,,,,,52112825,52112826
10000,10000,1,,,,,,52112827,52112828
10000,10000,1,,,,,,52112829,52112830
10000,10000,1,,,,,,52112831,52112832
10000,10000,1,,,,,,52090090,52090091
10000,10000,1,,,,,,52090201,52090200
10000,10000,1,,,,,,52090203,52090198
10000,10000,1,,,,,,52090202,52090195
10000,10000,1,,,,,,52090205,52090196
10000,10000,1,,,,,,52090204,52090197
10000,10000,1,,,,,,52090199,52090194
10000,10000,1,,,,,,52090092,52090093
10000,10000,1,,,,,,52090094,52090095
10000,10000,1,,,,,,52090322,52090316
10000,10000,1,,,,,,52090332,52090330
10000,10000,1,,,,,,52090319,52090326
10000,10000,1,,,,,,52090333,52090331
10000,10000,1,,,,,,52090323,52090318
10000,10000,1,,,,,,52090315,52090321
10000,10000,1,,,,,,52090327,52090314
10000,10000,1,,,,,,52090313,52090324
10000,10000,1,,,,,,52090329,52090317
10000,10000,1,,,,,,52090325,52090320
10000,10000,1,,,,,,52090328,52090312
10000,10000,1,,,,,,52090096,52090097
10000,10000,1,,,,,,52090098,52090099
10000,10000,1,,,,,,52090101,52090103
10000,10000,1,,,,,,52090100,52090102
10000,10000,1,,,,,,52092055,52092056
10000,10000,1,,,,,,52090105,52090104
10000,10000,1,,,,,,52090106,52090107
10000,10000,1,,,,,,52090108,52090109
10000,10000,1,,,,,,52090110,52090111
10000,10000,1,,,,,,52090112,52090113
10000,10000,1,,,,,,52090114,52090115
10000,10000,1,,,,,,52092757,52092758
10000,10000,1,,,,,,52092759,52092760
10000,10000,1,,,,,,52092730,52092731
10000,10000,1,,,,,,52092761,52092732
10000,10000,1,,,,,,52092762,52092763
10000,10000,1,,,,,,52092764,52092765
10000,10000,1,,,,,,52092733,52092766
10000,10000,1,,,,,,52092767,52092768
10000,10000,1,,,,,,52092734,52092735
10000,10000,1,,,,,,52092769,52092770
10000,10000,1,,,,,,52092736,52092737
10000,10000,1,,,,,,52092771,52092772
10000,10000,1,,,,,,52092738,52092773
10000,10000,1,,,,,,52092739,52092774
10000,10000,1,,,,,,52092740,52092776
10000,10000,1,,,,,,52092775,52092742
10000,10000,1,,,,,,52092741,52092777
10000,10000,1,,,,,,52092743,52092778
10000,10000,1,,,,,,52092744,52092745
10000,10000,1,,,,,,52092779,52092780
10000,10000,1,,,,,,52092746,52092747
10000,10000,1,,,,,,52092749,52092750
10000,10000,1,,,,,,52092751,52092752
10000,10000,1,,,,,,52092753,52092754
10000,10000,1,,,,,,52092755,52092756
10000,10000,1,,,,,,52092718,52092719
10000,10000,1,,,,,,52092720,52092721
10000,10000,1,,,,,,52092722,52092723
10000,10000,1,,,,,,52092724,52092725
10000,10000,1,,,,,,52092726,52092727
10000,10000,1,,,,,,52092728,52092729
10642,10642,1,,,,,,52017547,52017538
10642,10642,1,,,,,,52017562,52017704
10642,10642,1,,,,,,52017560,52017553
10642,10642,1,,,,,,52017555,52017546
10642,10642,1,,,,,,52017535,52017542
10642,10642,1,,,,,,52017550,52017673
10642,10642,1,,,,,,52017533,52017543
10642,10642,1,,,,,,52017539,52017527
10642,10642,1,,,,,,52017557,52017540
10642,10642,1,,,,,,51935883,51935884
10642,10642,1,,,,,,51935875,51935876
10642,10642,1,,,,,,51935877,51935878
10642,10642,1,,,,,,51935879,51935880
10642,10642,1,,,,,,51935895,51935896
10642,10642,1,,,,,,51935887,51935888
10642,10642,1,,,,,,51935889,51935890
10642,10642,1,,,,,,51935891,51935892
109821,109821,1,,,,,,52445572,52445476
109821,109821,1,,,,,,52445573,52445478
109821,109821,1,,,,,,52445575,52445480
109821,109821,1,,,,,,52445576,52445482
109821,109821,1,,,,,,52445596,52445477
109821,109821,1,,,,,,52445597,52445491
109821,109821,1,,,,,,52445599,52445499
109821,109821,1,,,,,,52445601,52445510
109821,109821,1,,,,,,52445602,52445485
109821,109821,1,,,,,,52445603,52445516
109821,109821,1,,,,,,52445604,52445488
109821,109821,1,,,,,,52445605,52445514
